key,value
scenario,S2
target,50
written_at,2026-09-21T22:40:33
tel_sent,1601
tel_period_min_us,19927
tel_period_avg_us,19999
tel_period_max_us,20002
work_avg_us,0
work_max_us,0
cni_accepted,50
cni_debounce_rej,0
cni_btnq_drop,0
cni_rec_ovf,0
cni_rec_mismatch,0
cni_unarmed_rej,36
cni_events,50
cni_idle_press,0
cni_rx_overflow,0
cni_rx_err,0
cni_cmd_busy,0
cnt_txq_drop_tel,0
cnt_txq_drop_btn,0
cnt_rec_mismatch,0
cnt_uart_err,0
cnt_uart_timeout,0
cnt_rec_mismatch_tx,0
cnt_fmt_err_tel,0
cnt_fmt_err_btn,0
cnt_txq_hwm,16
cnt_cmd_err,0
